"symbol","sector","date_stamp","close","adjusted_close","volume","sp500"
AAL,"1",2020-04-29,12.63,12.63,113669404.0,2939.510009765625
AAL,"1",2020-04-30,12.01,12.01,94921443.0,2912.429931640625
AAL,"1",2020-05-01,10.64,10.64,99441398.0,2830.7099609375
AAL,"1",2020-05-04,9.82,9.82,125580017.0,2842.739990234375
AAL,"1",2020-05-05,9.51,9.51,86943949.0,2868.43994140625
AAL,"1",2020-05-06,9.25,9.25,68990968.0,2848.419921875
AAL,"1",2020-05-07,9.54,9.54,61816999.0,2881.18994140625
AAL,"1",2020-05-08,10.14,10.14,59649750.0,2929.800048828125
AAL,"1",2020-05-11,10.1,10.1,48705945.0,2930.18994140625
AAL,"1",2020-05-12,9.65,9.65,46833143.0,2870.1201171875
AAL,"1",2020-05-13,9.11,9.11,68704637.0,2820.0
AAL,"1",2020-05-14,9.15,9.15,72320522.0,2852.5
AAL,"1",2020-05-15,9.04,9.04,39560529.0,2863.699951171875
AAL,"1",2020-05-18,9.87,9.87,76624405.0,2953.909912109375
AAL,"1",2020-05-19,9.64,9.64,62242475.0,2922.93994140625
AAL,"1",2020-05-20,9.87,9.87,44006731.0,2971.610107421875
AAL,"1",2020-05-21,9.89,9.89,45785718.0,2948.510009765625
AAL,"1",2020-05-22,9.7,9.7,37596763.0,2955.449951171875
AAL,"1",2020-05-26,11.14,11.14,101717009.0,2991.77001953125
AAL,"1",2020-05-27,11.98,11.98,99314752.0,3036.1298828125
AAL,"1",2020-05-28,10.98,10.98,70811411.0,3029.72998046875
AAL,"1",2020-05-29,10.5,10.5,59054713.0,3044.31005859375
AAL,"1",2020-06-01,11.11,11.11,50681600.0,3055.72998046875
AAL,"1",2020-06-02,11.22,11.22,49148574.0,3080.820068359375
AAL,"1",2020-06-03,11.85,11.85,86685282.0,3122.8701171875
AAL,"1",2020-06-04,16.72,16.72,399432625.0,3112.35009765625
AAL,"1",2020-06-05,18.59,18.59,428617124.0,3193.929931640625
AAL,"1",2020-06-08,20.31,20.31,175418927.0,3232.389892578125
AAL,"1",2020-06-09,18.55,18.55,111234412.0,3207.179931640625
AAL,"1",2020-06-10,17.02,17.02,163952527.0,3190.139892578125
AAL,"1",2020-06-11,14.38,14.38,124220842.0,3002.10009765625
AAL,"1",2020-06-12,16.74,16.74,161101802.0,3041.31005859375
AAL,"1",2020-06-15,16.7,16.7,122904105.0,3066.590087890625
AAL,"1",2020-06-16,17.03,17.03,124989348.0,3124.739990234375
AAL,"1",2020-06-17,16.98,16.98,71706660,3113.489990234375
AAL,"1",2020-06-18,16.49,16.49,64265328,3115.340087890625
AAL,"1",2020-06-19,16.0,16.0,92320184,3097.739990234375
AAL,"1",2020-06-22,14.92,14.92,118994544,3117.860107421875
AAL,"1",2020-06-23,14.0,14.0,204022271,3131.2900390625
AAL,"1",2020-06-24,13.04,13.04,140975485,3050.330078125
AAL,"1",2020-06-25,13.17,13.17,117383374,3083.760009765625
AAL,"1",2020-06-26,12.38,12.38,108813029,3009.050048828125
AAL,"1",2020-06-29,13.32,13.32,115051081,3053.239990234375
AAL,"1",2020-06-30,13.07,13.07,69607727,3100.2900390625
AAL,"1",2020-07-01,12.81,12.81,116860568,3115.860107421875
AAL,"1",2020-07-02,12.5,12.5,86439143,3130.010009765625
AAL,"1",2020-07-06,12.8,12.8,79312978,3179.719970703125
AAL,"1",2020-07-07,11.91,11.91,77999210,3145.320068359375
AAL,"1",2020-07-08,11.99,11.99,85252092,3169.93994140625
AAL,"1",2020-07-09,11.18,11.18,77131305,3152.050048828125
AAL,"1",2020-07-10,11.94,11.94,90529635,3185.0400390625
AAL,"1",2020-07-13,11.63,11.63,67580253,3155.219970703125
AAL,"1",2020-07-14,11.57,11.57,49888905,3197.52001953125
AAL,"1",2020-07-15,13.44,13.44,135445160,3226.56005859375
AAL,"1",2020-07-16,12.45,12.45,81546081,3215.570068359375
AAL,"1",2020-07-17,11.91,11.91,68133921,3224.72998046875
AAL,"1",2020-07-20,11.47,11.47,63466858,3251.840087890625
AAL,"1",2020-07-21,11.47,11.47,63325927,3257.300048828125
AAL,"1",2020-07-22,11.36,11.36,42461298,3276.02001953125
AAL,"1",2020-07-23,11.77,11.77,115574786,3235.659912109375
AAL,"1",2020-07-24,11.39,11.39,53761416,3215.6298828125
AAL,"1",2020-07-27,11.39,11.39,69451719,3239.409912109375
AAL,"1",2020-07-28,11.77,11.77,62356563,3218.43994140625
AAL,"1",2020-07-29,11.4,11.4,52214555,3258.43994140625
AAL,"1",2020-07-30,11.18,11.18,40525120,3246.219970703125
AAL,"1",2020-07-31,11.12,11.12,51835522,3271.1201171875
AAL,"1",2020-08-03,11.08,11.08,48263993,3294.610107421875
AAL,"1",2020-08-04,11.47,11.47,54824447,3306.510009765625
AAN,"1",2020-01-02,57.67,57.4919,658505,3257.85009765625
AAN,"1",2020-01-03,56.97,56.7941,467329,3234.85009765625
AAN,"1",2020-01-06,57.68,57.5019,550968,3246.280029296875
AAN,"1",2020-01-07,57.59,57.4122,498196,3237.179931640625
AAN,"1",2020-01-08,58.6,58.419,595980,3253.050048828125
AAN,"1",2020-01-09,57.9,57.7212,687055,3274.699951171875
AAN,"1",2020-01-10,57.72,57.5418,546491,3265.35009765625
AAN,"1",2020-01-13,58.28,58.1,564181,3288.1298828125
AAN,"1",2020-01-14,59.02,58.8377,430320,3283.14990234375
AAN,"1",2020-01-15,59.66,59.4758,598252,3289.2900390625
AAN,"1",2020-01-16,60.24,60.054,488622,3316.81005859375
AAN,"1",2020-01-17,61.38,61.1905,962437,3329.6201171875
AAN,"1",2020-01-21,60.37,60.1836,610725,3320.7900390625
AAN,"1",2020-01-22,61.12,60.9313,475371,3321.75
AAN,"1",2020-01-23,61.36,61.1705,563794,3325.5400390625
AAN,"1",2020-01-24,61.48,61.2901,588549,3295.469970703125
AAN,"1",2020-01-27,61.44,61.2503,668203,3243.6298828125
AAN,"1",2020-01-28,62.77,62.5762,382214,3276.239990234375
AAN,"1",2020-01-29,63.72,63.5232,586823,3273.39990234375
AAN,"1",2020-01-30,62.8,62.6061,496610,3283.659912109375
AAN,"1",2020-01-31,59.36,59.1767,907345,3225.52001953125
AAN,"1",2020-02-03,60.37,60.1836,931691,3248.919921875
AAN,"1",2020-02-04,55.2,55.0295,2910111,3297.590087890625
AAN,"1",2020-02-05,56.58,56.4053,980425,3334.68994140625
AAN,"1",2020-02-06,56.93,56.7542,595238,3345.780029296875
AAN,"1",2020-02-07,55.5,55.3286,640355,3327.7099609375
AAN,"1",2020-02-10,56.71,56.5349,773069,3352.090087890625
AAN,"1",2020-02-11,58.55,58.3692,749426,3357.75
AAN,"1",2020-02-12,57.87,57.6913,520273,3379.449951171875
AAN,"1",2020-02-13,58.32,58.1399,415576,3373.93994140625
AAN,"1",2020-02-14,58.2,58.0203,419748,3380.159912109375
AAN,"1",2020-02-18,57.55,57.3723,733026,3370.2900390625
AAN,"1",2020-02-19,56.15,55.9766,1060285,3386.14990234375
AAN,"1",2020-02-20,45.45,45.3096,5128396,3373.22998046875
AAN,"1",2020-02-21,43.33,43.1962,1932544,3337.75
AAN,"1",2020-02-24,43.28,43.1463,2157127,3225.889892578125
AAN,"1",2020-02-25,42.7,42.5681,1482103,3128.2099609375
AAN,"1",2020-02-26,41.5,41.3718,1155279,3116.389892578125
AAN,"1",2020-02-27,40.95,40.8235,1405093,2978.760009765625
AAN,"1",2020-02-28,39.33,39.2085,2138604,2954.219970703125
AAN,"1",2020-03-02,38.75,38.6303,1577178,3090.22998046875
AAN,"1",2020-03-03,37.65,37.5337,985432,3003.3701171875
AAN,"1",2020-03-04,37.76,37.6434,1001262,3130.1201171875
AAN,"1",2020-03-05,35.88,35.7692,1344633,3023.93994140625
AAN,"1",2020-03-06,34.77,34.6626,1040877,2972.3701171875
AAN,"1",2020-03-09,32.42,32.3199,989652,2746.56005859375
AAN,"1",2020-03-10,33.59,33.4863,1139469,2882.22998046875
AAN,"1",2020-03-11,30.14,30.0469,1523785,2741.3798828125
AAN,"1",2020-03-12,27.76,27.6743,1457289,2480.639892578125
AAN,"1",2020-03-13,30.13,30.037,1463624,2711.02001953125
AAN,"1",2020-03-16,24.2,24.1253,1554174,2386.1298828125
AAN,"1",2020-03-17,21.86,21.7925,3016254,2529.18994140625
AAN,"1",2020-03-18,18.38,18.3232,2056598,2398.10009765625
AAN,"1",2020-03-19,18.24,18.2235,1901006,2409.389892578125
AAN,"1",2020-03-20,15.0,14.9865,2241167,2304.919921875
AAN,"1",2020-03-23,15.72,15.7058,2381802,2237.39990234375
AAN,"1",2020-03-24,20.81,20.7912,2008126,2447.330078125
AAN,"1",2020-03-25,23.76,23.7386,1754076,2475.56005859375
AAN,"1",2020-03-26,23.69,23.6686,1395631,2630.070068359375
AAN,"1",2020-03-27,23.65,23.6287,1282606,2541.469970703125
AAN,"1",2020-03-30,22.55,22.5297,1213538,2626.64990234375
AAN,"1",2020-03-31,22.78,22.7595,1551509,2584.590087890625
AAN,"1",2020-04-01,19.74,19.7222,1421001,2470.5
AAN,"1",2020-04-02,19.17,19.1527,1099019,2526.89990234375
AAN,"1",2020-04-03,18.62,18.6032,1185443,2488.64990234375
AAN,"1",2020-04-06,22.14,22.12,1150545,2663.679931640625
AAN,"1",2020-04-07,22.88,22.8594,1425701,2659.409912109375
AAN,"1",2020-04-08,23.67,23.6487,1235604,2749.97998046875
AAN,"1",2020-04-09,25.24,25.2172,1010791,2789.820068359375
AAN,"1",2020-04-13,24.69,24.6677,779787,2761.6298828125
AAN,"1",2020-04-14,25.96,25.9366,1307095,2846.06005859375
AAN,"1",2020-04-15,23.25,23.229,988505,2783.360107421875
AAN,"1",2020-04-16,23.01,22.9892,570223,2799.550048828125
AAN,"1",2020-04-17,24.59,24.5678,915046,2874.56005859375
AAN,"1",2020-04-20,24.71,24.6877,945167,2823.159912109375
AAN,"1",2020-04-21,23.26,23.239,1018567,2736.56005859375
AAN,"1",2020-04-22,23.62,23.5987,450383,2799.31005859375
AAN,"1",2020-04-23,24.14,24.1182,584051,2797.800048828125
AAN,"1",2020-04-24,25.7,25.6768,1051803,2836.739990234375
AAN,"1",2020-04-27,26.82,26.7958,598950,2878.47998046875
AAN,"1",2020-04-28,27.93,27.9048,729639,2863.389892578125
AAN,"1",2020-04-29,32.33,32.3008,1784410,2939.510009765625
AAN,"1",2020-04-30,31.91,31.8812,1294110,2912.429931640625
AAN,"1",2020-05-01,30.51,30.4825,1255920,2830.7099609375
AAN,"1",2020-05-04,30.96,30.9321,766987,2842.739990234375
AAN,"1",2020-05-05,29.4,29.3735,727012,2868.43994140625
AAN,"1",2020-05-06,28.8,28.774,708239,2848.419921875
AAN,"1",2020-05-07,33.35,33.3199,1569234,2881.18994140625
AAN,"1",2020-05-08,35.78,35.7477,1202903,2929.800048828125
AAN,"1",2020-05-11,34.51,34.4789,929376,2930.18994140625
AAN,"1",2020-05-12,32.9,32.8703,962156,2870.1201171875
AAN,"1",2020-05-13,29.69,29.6632,1738495,2820.0
AAN,"1",2020-05-14,32.08,32.0511,1181875,2852.5
AAN,"1",2020-05-15,31.3,31.2718,933279,2863.699951171875
AAN,"1",2020-05-18,33.37,33.3399,950750,2953.909912109375
AAN,"1",2020-05-19,32.27,32.2409,526510,2922.93994140625
AAN,"1",2020-05-20,33.76,33.7296,701141,2971.610107421875
AAN,"1",2020-05-21,33.7,33.6696,1314105,2948.510009765625
AAN,"1",2020-05-22,33.98,33.9494,478514,2955.449951171875
AAN,"1",2020-05-26,36.31,36.2773,467291,2991.77001953125
AAN,"1",2020-05-27,38.38,38.3454,735843,3036.1298828125
AAN,"1",2020-05-28,36.24,36.2073,558411,3029.72998046875
AAN,"1",2020-05-29,36.91,36.8767,757636,3044.31005859375
AAN,"1",2020-06-01,37.33,37.2963,740039,3055.72998046875
AAN,"1",2020-06-02,38.44,38.4053,758119,3080.820068359375
AAN,"1",2020-06-03,39.69,39.6542,965115,3122.8701171875
AAN,"1",2020-06-04,43.65,43.6106,1593348,3112.35009765625
AAN,"1",2020-06-05,45.57,45.5289,1278989,3193.929931640625
AAN,"1",2020-06-08,49.28,49.2356,1617255,3232.389892578125
AAN,"1",2020-06-09,48.47,48.4263,1159768,3207.179931640625
AAN,"1",2020-06-10,45.63,45.5888,866177,3190.139892578125
AAN,"1",2020-06-11,41.98,41.9421,839251,3002.10009765625
AAN,"1",2020-06-12,43.55,43.5107,672343,3041.31005859375
AAN,"1",2020-06-15,43.94,43.9004,889353,3066.590087890625
AAN,"1",2020-06-16,45.5,45.459,1989669,3124.739990234375
AAN,"1",2020-06-17,44.31,44.31,562816,3113.489990234375
AAN,"1",2020-06-18,43.38,43.38,641476,3115.340087890625
AAN,"1",2020-06-19,42.26,42.26,1400404,3097.739990234375
AAN,"1",2020-06-22,43.56,43.56,641537,3117.860107421875
AAN,"1",2020-06-23,44.38,44.38,401730,3131.2900390625
AAN,"1",2020-06-24,42.77,42.77,480228,3050.330078125
AAN,"1",2020-06-25,44.12,44.12,528431,3083.760009765625
AAN,"1",2020-06-26,44.32,44.32,1885929,3009.050048828125
AAN,"1",2020-06-29,46.5,46.5,649200,3053.239990234375
AAN,"1",2020-06-30,45.4,45.4,622200,3100.2900390625
AAN,"1",2020-07-01,45.29,45.29,597900,3115.860107421875
AAN,"1",2020-07-02,44.73,44.73,413100,3130.010009765625
AAN,"1",2020-07-06,45.04,45.04,549800,3179.719970703125
AAN,"1",2020-07-07,43.45,43.45,841000,3145.320068359375
AAN,"1",2020-07-08,43.82,43.82,577800,3169.93994140625
AAN,"1",2020-07-09,43.81,43.81,518800,3152.050048828125
AAN,"1",2020-07-10,44.1,44.1,367700,3185.0400390625
AAN,"1",2020-07-13,42.41,42.41,480700,3155.219970703125
AAN,"1",2020-07-14,42.83,42.83,597300,3197.52001953125
AAN,"1",2020-07-15,44.9,44.9,718400,3226.56005859375
AAN,"1",2020-07-16,44.04,44.04,426400,3215.570068359375
AAN,"1",2020-07-17,43.14,43.14,406000,3224.72998046875
AAN,"1",2020-07-20,42.61,42.61,312829,3251.840087890625
AAN,"1",2020-07-21,43.69,43.69,345424,3257.300048828125
AAN,"1",2020-07-22,44.43,44.43,380065,3276.02001953125
AAN,"1",2020-07-23,44.94,44.94,478462,3235.659912109375
AAN,"1",2020-07-24,44.7,44.7,433652,3215.6298828125
AAN,"1",2020-07-27,45.97,45.97,658793,3239.409912109375
AAN,"1",2020-07-28,45.17,45.17,618552,3218.43994140625
AAN,"1",2020-07-29,54.39,54.39,4160038,3258.43994140625
AAN,"1",2020-07-30,52.76,52.76,1379630,3246.219970703125
AAN,"1",2020-07-31,52.18,52.18,1570063,3271.1201171875
AAN,"1",2020-08-03,51.6,51.6,1157887,3294.610107421875
AAN,"1",2020-08-04,52.21,52.21,646402,3306.510009765625
AAPL,"2",2020-01-02,300.35,298.8389,33911864.0,3257.85009765625
AAPL,"2",2020-01-03,297.43,295.9336,36633878.0,3234.85009765625
AAPL,"2",2020-01-06,299.8,298.2917,29644644.0,3246.280029296875
AAPL,"2",2020-01-07,298.39,296.8888,27877655.0,3237.179931640625
AAPL,"2",2020-01-08,303.19,301.6647,33090946.0,3253.050048828125
AAPL,"2",2020-01-09,309.63,308.0723,42621542.0,3274.699951171875
AAPL,"2",2020-01-10,310.33,308.7687,35217272.0,3265.35009765625
AAPL,"2",2020-01-13,316.96,315.3654,30028742.0,3288.1298828125
AAPL,"2",2020-01-14,312.68,311.1069,40653457.0,3283.14990234375
AAPL,"2",2020-01-15,311.34,309.7736,30480882.0,3289.2900390625
AAPL,"2",2020-01-16,315.24,313.654,27207254.0,3316.81005859375
AAPL,"2",2020-01-17,318.73,317.1265,34454117.0,3329.6201171875
AAPL,"2",2020-01-21,316.57,314.9773,27235039.0,3320.7900390625
AAPL,"2",2020-01-22,317.7,316.1017,25458115.0,3321.75
AAPL,"2",2020-01-23,319.23,317.624,26117993.0,3325.5400390625
AAPL,"2",2020-01-24,318.31,316.7086,36634380.0,3295.469970703125
AAPL,"2",2020-01-27,308.95,307.3957,40485005.0,3243.6298828125
AAPL,"2",2020-01-28,317.69,316.0917,40558486.0,3276.239990234375
AAPL,"2",2020-01-29,324.34,322.7082,54149928.0,3273.39990234375
AAPL,"2",2020-01-30,323.87,322.2406,31685808.0,3283.659912109375
AAPL,"2",2020-01-31,309.51,307.9529,49897096.0,3225.52001953125
AAPL,"2",2020-02-03,308.66,307.1071,43496401.0,3248.919921875
AAPL,"2",2020-02-04,318.85,317.2459,34154134.0,3297.590087890625
AAPL,"2",2020-02-05,321.45,319.8328,29706718.0,3334.68994140625
AAPL,"2",2020-02-06,325.21,323.5739,26356385.0,3345.780029296875
